tier,locationLon,locationLat,xps,main_image_path,eng_cat,tags_count
2,-3.690961221037852,40.42637058868903,700,data_main/0464f526-a2df-4d81-956b-34426e6bb3e0/main.jpg,Mid,10
2,-3.762097422985464,40.448713343630445,700,data_main/046e9973-5f03-462f-ad3b-c80491d14403/main.jpg,High,12
1,-73.987393,40.746331,1000,data_main/047fda89-e949-41b7-af1f-df07acfa8159/main.jpg,Mid,5
2,-3.702045729504309,40.42021381353114,700,data_main/04af6b3c-e694-4fec-a173-3dd97085437d/main.jpg,High,10
1,-3.901604700000007,50.5806266,1000,data_main/04be145b-f73e-41aa-9332-d1702684dc53/main.jpg,Mid,4
1,25.54939139695898,45.35537398351872,1000,data_main/04c4b257-4285-411a-a07a-9987378d993e/main.jpg,High,5
3,-3.704719649535845,40.38918824660656,500,data_main/04fa9dc2-f2a8-4254-9100-99c3594f1497/main.jpg,Low,13
2,-3.700373464615154,40.44209227424258,600,data_main/051834d5-3a83-4d91-a654-7f3c647dd8c0/main.jpg,Low,13
2,-3.711735269622898,40.41877607529163,600,data_main/054ed717-e497-4a6f-a6f7-c296cfbb71d6/main.jpg,Low,13
1,-3.690896360408497,40.42348808542784,800,data_main/0561f524-090d-479d-93c7-0b534db50650/main.jpg,Low,13
1,19.0624765,47.4911983,1000,data_main/05756cfb-35a2-4214-a56c-0f9dde40687c/main.jpg,High,4
1,-3.707461754435032,40.41051539606835,500,data_main/05e629dc-1bde-4078-8898-730c039f4ab0/main.jpg,High,2
1,-7.594333333333333,43.66444444444444,1000,data_main/06087d9d-2bc1-49ef-9498-235c396d6ecd/main.jpg,Mid,10
1,-0.0906299000000672,51.51230588484592,1000,data_main/060c7567-ef4a-4f09-9607-a4e3c2d4ad5c/main.jpg,Mid,6
1,-3.727153502688964,40.43267440621962,800,data_main/06181b90-58e4-40fe-bd3e-a0b4e96f0873/main.jpg,High,12
1,-7.362888888888889,43.42791666666666,1000,data_main/06beafaa-2a36-4f66-831b-507b860d1e79/main.jpg,Mid,10
1,-3.712927052732882,40.414975858382746,800,data_main/06c561e7-5cf8-420e-8d5d-462932bfc896/main.jpg,High,10
2,-58.392913026565566,-34.58742946259159,250,data_main/06cbec5c-f9fa-4ad7-aacf-5c1ced963097/main.jpg,High,1
2,-3.719998772058356,40.41884303920882,600,data_main/073aae6c-d37a-4c7d-a787-9ad128e4d10b/main.jpg,Mid,12
1,142.53211622392575,-10.687855036954002,1000,data_main/073d93c9-fb92-4bbf-a453-5358033df658/main.jpg,Mid,5
2,-3.7166601520445215,40.425232154155225,700,data_main/07569fda-b1f1-42cb-a850-ad464bf7a3e5/main.jpg,Low,13
2,-3.708577977039153,40.42230899265851,600,data_main/07594393-5db0-4504-972c-8a593ad7140d/main.jpg,High,10
2,-3.7147293508847015,40.40987468819365,700,data_main/0768e624-cfa2-4446-9e59-6a91ef3c9734/main.jpg,Low,13
1,-3.7120464504524775,40.42145885159915,800,data_main/07db8e82-1967-409e-9cdf-f87bc9178d65/main.jpg,High,10
2,-3.63886019826325,40.3869942626264,600,data_main/07ee926e-f872-4ded-90bf-4214f3072949/main.jpg,Low,13
2,2.644689347075731,39.57047598574714,250,data_main/0812c128-d506-4ded-9db8-2bace29d10c9/main.jpg,Low,0
2,-3.706217444920123,40.420900008680086,600,data_main/0826be60-8416-4043-abe7-dbcb395fbe54/main.jpg,High,10
1,-7.957194444444444,42.15166666666666,1000,data_main/086504ea-2688-4951-88e8-437ccdba6220/main.jpg,High,10
1,-3.694763739726428,40.41595949991231,750,data_main/087cd8b5-a7b9-4dfe-8ecf-8c24758cf3e9/main.jpg,Low,1
2,-3.700776749697362,40.42026644620261,600,data_main/087daad4-820d-46e2-98b4-dd1136239d0d/main.jpg,Low,10
2,-3.7113243462276166,40.41445426481868,600,data_main/08c43859-c439-4923-ae0f-86137de48ee7/main.jpg,High,10
2,-3.659683946771514,40.37425557538388,600,data_main/08f2b072-b35b-42e2-bd2c-a3f980565ff9/main.jpg,Low,13
1,-4.016008699999929,39.859074,1000,data_main/094aab84-36be-49df-baa0-0de97b964036/main.jpg,Mid,3
2,-3.679396782860836,40.41115978352367,600,data_main/09bbd277-a53d-4aca-820e-e244329a81ae/main.jpg,Low,13
2,-3.618237688656712,40.44339738737497,600,data_main/09ca9fc9-b3ba-4da6-82b1-bdf2f0d2252f/main.jpg,High,13
2,-3.69224631322885,40.42408361556673,600,data_main/09ff6b3a-a3e5-451f-9fcc-671a95962507/main.jpg,Mid,10
1,-3.6886790540386696,40.41528506739523,800,data_main/0a155039-fcdc-4f38-8e56-66e61b6de949/main.jpg,Mid,13
2,-3.762097422985464,40.448713343630445,600,data_main/0a1ce3cb-0f58-4f88-ac2c-4e500ee7ea54/main.jpg,Mid,12
1,-8.022472222222223,43.03861111111111,1000,data_main/0a27eef8-f4ea-4b70-9377-41ce2d7c49eb/main.jpg,High,10
1,-3.6879219226850832,40.419640944261374,800,data_main/0a38b518-b847-4d6a-9f24-39e7c8c1b386/main.jpg,Low,13
1,-6.224997022753882,40.46574260000002,1000,data_main/0a559e6f-d8c0-4e09-af85-da925e4ed7a4/main.jpg,Low,4
2,-3.681532395264785,40.42119268639031,700,data_main/0a8c4e8c-caa8-4a79-bd77-a27d7cd792f4/main.jpg,Low,12
1,-3.693141504307064,40.41482596602272,900,data_main/0a8cbd00-c1aa-47f8-ab77-0120e4f85200/main.jpg,High,10
2,-3.709008238044509,40.42174779477392,600,data_main/0a99d67f-cb87-49d7-8332-54690debcc76/main.jpg,High,10
2,-3.714213898691306,40.42020223558045,700,data_main/0adc7254-0087-4097-ba46-aee77760e918/main.jpg,Low,13
2,-3.6876813257295855,40.416849571553215,700,data_main/0b185e47-2e51-41f3-a976-55e9dca384a9/main.jpg,Low,13
1,-3.600413300000014,37.1750293,1000,data_main/0b5369bf-9681-4133-a73b-f48045b497d8/main.jpg,Mid,4
1,-3.7260783546310408,40.44379500767658,800,data_main/0b5d0bfe-774b-46ff-a4f4-697e143b88f3/main.jpg,Low,13
1,-2.890517,38.972496,1000,data_main/0b6e785b-c995-48a6-a9bd-dd4ceb5eb8d0/main.jpg,Mid,4
2,-3.6858556431608087,40.41697753391118,700,data_main/0b8f1b25-a20e-4491-b2e7-d815b03bdbc1/main.jpg,Low,13
1,-7.918861111111111,41.924416666666666,1000,data_main/0bb262c6-24d2-4ba7-8ca5-75769aa8ba09/main.jpg,High,10
3,-3.6887279173756617,40.3749781496676,400,data_main/0c2942cc-f9ca-419d-a583-ca69ef253866/main.jpg,Low,13
1,-8.829555555555554,43.41686111111111,1000,data_main/0c338b69-2d9d-4dbb-9387-7523ecac4347/main.jpg,Mid,10
3,-3.676909763532325,40.41231852130818,500,data_main/0c533115-a2cf-4933-8b08-ec4621b33eb1/main.jpg,Mid,13
1,-3.722905128200874,40.41395000086607,800,data_main/0c5984f8-8741-476e-bd38-2c117229037a/main.jpg,Mid,13
1,-7.095277777777778,42.57441666666667,1000,data_main/0c7b3905-c397-4486-b611-816479e79d17/main.jpg,High,10
1,-3.664412496380416,40.45266022625637,800,data_main/0ca719d0-bb94-41e6-bc78-414e536f76bb/main.jpg,High,12
1,-2.134361983991994,43.26822008952131,1000,data_main/0cb20632-8e1d-4153-b122-9a8a90883caa/main.jpg,High,5
1,-8.03663888888889,43.34052777777778,1000,data_main/0cb47b23-d7d0-40a8-b264-de48b0d977ca/main.jpg,Low,10
1,2.6425605423273697,39.571221882112894,500,data_main/0cf31f9f-b731-4e80-a237-37c74bc5a5af/main.jpg,Low,0
1,-6.264239799999999,38.4764407,1000,data_main/0cf76eb8-96c7-41f0-8a7a-1ca5a3d63898/main.jpg,High,5
2,-3.707321986517039,40.41493828105907,600,data_main/0d24ba91-c0ba-4c39-a03c-ab46694aac30/main.jpg,Mid,10
1,-3.712348739846992,40.41882635128095,800,data_main/0d89ded5-670b-4407-85c9-ac3c284e97ad/main.jpg,Low,13
1,-3.722773406728326,40.41396526110986,800,data_main/0d9d2fca-d066-4a93-bdcd-a78580db4c21/main.jpg,High,10
2,-3.702057563376446,40.373366445969,600,data_main/0e2c8536-710d-4716-a1d6-26733be59953/main.jpg,Low,13
1,12.515602700000043,41.8912519,1000,data_main/0e48b874-3f28-47dd-97f6-d76c26c8230a/main.jpg,High,6
1,-8.216083333333332,43.31722222222223,1000,data_main/0e4f4b44-9c40-43f9-b6ff-498c0ecd6410/main.jpg,High,10
3,-3.688248806283227,40.43818164141852,100,data_main/0e6c3e28-ba7f-4111-bbff-1e05cd8c51c7/main.jpg,High,0
2,-3.705250586686131,40.440059089440375,600,data_main/0eefead9-05e9-4c04-9f7a-818071744fb0/main.jpg,Low,10
1,13.631233164279138,45.08329126658677,1000,data_main/0f112c27-d7df-42c3-8872-3bd7476f51e5/main.jpg,Mid,4
2,-3.700310150544718,40.41960260462519,600,data_main/0f93e556-f394-4af5-9607-bf531fba61c8/main.jpg,High,10
1,-1.5119005622279929,37.867861265552094,1000,data_main/0fa87ff5-e222-4aa2-90ff-6a0c028ff250/main.jpg,Mid,2
1,-3.235102900000016,40.4721752,1000,data_main/10096fe1-fc30-44c9-9652-d3908270def9/main.jpg,Low,3
2,-3.6798397318576814,40.416526576315135,600,data_main/1017ad99-8626-4bd9-83d0-4cdf7da3a221/main.jpg,Low,13
2,-3.7126774084733696,40.44298464158624,600,data_main/10694896-0f59-4ab5-99a3-45bf00ed81da/main.jpg,Low,13
2,-3.664152630364104,40.44302323474031,600,data_main/107a0a53-6dca-4008-9547-61234271cff8/main.jpg,Low,13
1,-7.3221944444444444,42.69638888888888,1000,data_main/10853969-c11d-41bb-8a2a-3700bad20e2f/main.jpg,High,10
1,-7.619972222222223,42.50830555555556,1000,data_main/10a1f02d-d2ce-426e-97b7-78b185480c5e/main.jpg,High,10
1,-2.6603675593994467,42.74930503650128,1000,data_main/10aa0a53-4991-4175-b588-e6fb87acb5e1/main.jpg,High,1
2,2.6602215987312885,39.57495603253038,250,data_main/10f4e19c-ba7f-4f73-9b7c-84a2241abb96/main.jpg,Low,0
1,-9.018472222222224,42.96263888888889,1000,data_main/112c4433-7d62-49ab-8346-5ec4aeb9ce59/main.jpg,Mid,10
2,-3.707315633210165,40.42446087205427,700,data_main/1133ece9-28ef-47ce-ab8e-74af767246d2/main.jpg,Low,13
2,-3.712994319712841,40.4152187560347,600,data_main/114aefe5-4097-4ddf-bd4c-c67759f53458/main.jpg,Low,13
1,7.684316512828104,45.06843935846688,1000,data_main/11a60a18-32b2-4c68-9a19-83cb29c7f61b/main.jpg,High,3
2,-3.6795050611324815,40.43012318506013,600,data_main/11b8c857-7b76-4fb6-9206-67506b6fa76b/main.jpg,Low,13
1,-8.54525,42.88063888888889,1000,data_main/11f74849-69c1-4094-8aa7-78ea148c845f/main.jpg,Mid,10
1,14.56449090000001,36.8810019,1000,data_main/12803406-e0d2-494a-a58f-64ce2b2ddda4/main.jpg,High,4
1,-7.820666666666666,43.00719444444445,1000,data_main/12e5c5fd-e0c1-46cc-9934-bfdad183898a/main.jpg,High,10
2,-3.7012980862961937,40.41371371069302,700,data_main/13057e31-e3dc-4756-bb94-c9641330f5ea/main.jpg,High,10
2,-3.662906398275001,40.42178709315221,700,data_main/1318745d-2b62-4e22-85b5-069b686728ec/main.jpg,Mid,10
1,-7.631083333333334,42.2325,1000,data_main/131c2ee8-d675-4a78-a831-a8cd721b992e/main.jpg,Mid,10
2,-3.7036670070208766,40.40804163281316,600,data_main/1345ca8e-1193-4c4d-9d28-9fcff390dd21/main.jpg,Low,13
1,-3.698208506745914,40.41509304986818,1000,data_main/13534377-9477-4cef-85c3-b399dda89944/main.jpg,High,6
2,-3.737400954732419,40.38465108691511,600,data_main/138c30a3-5b7b-4354-a834-f3ae5126c050/main.jpg,High,13
1,-3.6928558489990113,40.4214493254896,800,data_main/140ebbef-efd5-40aa-84fe-1b3a89ec2934/main.jpg,High,10
1,3.823764552722423,40.05023076718352,1000,data_main/14255a92-8f71-4cb9-88f8-fd760d6ae7b9/main.jpg,Mid,3
2,-3.71084907791347,40.42305180954051,600,data_main/145d08e6-fe67-4647-a180-aa22ac93b6c5/main.jpg,High,10
1,-3.690190864784378,40.42366347102459,800,data_main/146f87bb-0974-4e3f-8607-bdb1add4c498/main.jpg,Low,13
1,-8.705,42.43138888888889,1000,data_main/14848fbc-e406-4d1a-9739-340caa9d7ba5/main.jpg,Mid,10
2,-3.70790571351788,40.421150945618855,600,data_main/1484e201-708a-407d-b65a-e3d2f81e2cbd/main.jpg,Mid,10
1,-3.710250837641945,40.41324464343417,900,data_main/149a007d-214f-4e32-8394-dcc3f4de4699/main.jpg,Mid,10
1,-3.6901217052513657,40.4238170374952,800,data_main/14ac40e8-08c2-4342-83bd-f5093b4365f9/main.jpg,Low,13
1,-3.7156419506353418,40.4148060002036,800,data_main/14b1637d-36f8-438d-98cd-5d5776b30269/main.jpg,High,13
1,-3.690523026519969,40.41435651796935,900,data_main/14c6e1cc-ac5a-4204-86e8-108761f4923f/main.jpg,High,10
2,-3.727804097245147,40.43215353317974,700,data_main/14db94f7-754f-4439-ad7a-066694f58583/main.jpg,Low,13
3,-3.7022602821339614,40.34636485036636,500,data_main/15117e1e-176d-4533-8ddd-2c40dbe29aff/main.jpg,Low,13
1,35.4514944,30.322003,1000,data_main/155510e3-40c9-4c41-b30e-1faa62e63a51/main.jpg,High,5
2,-3.6984626119946418,40.46463774627806,600,data_main/159bfd27-9c73-47d9-a880-622d6df1ffbf/main.jpg,Low,13
2,-3.695771913945168,40.434467876370206,600,data_main/15bcbc67-48da-4706-8089-8c9cf546726a/main.jpg,Low,10
1,-3.714236043158858,40.42006696326565,900,data_main/1604e91e-8ea3-48d3-8088-65fc54bb707c/main.jpg,Low,13
1,34.696860000000015,40.234529,1000,data_main/16413c4a-409a-4110-970e-5cc3a805ac1c/main.jpg,High,3
1,23.521674591789747,46.77495788018732,1000,data_main/16804c6a-1298-4f56-9250-bebae4d179ee/main.jpg,Mid,8
2,-3.691086023295237,40.41091933282684,600,data_main/169030dd-83e4-424d-b60e-fb331f3c9f1a/main.jpg,Mid,13
2,-3.691016699006383,40.42142429655837,700,data_main/169aca40-e2a3-4a2d-9beb-5a4797a10573/main.jpg,Mid,10
1,-3.7157588747442656,40.39779539202881,800,data_main/16e55308-29ba-4061-badc-1de73abe75ce/main.jpg,High,12
3,-3.70286847944282,40.423151752879534,100,data_main/16fa4d31-9633-4a10-affb-3fd1a247a9ba/main.jpg,High,0
1,-3.704587084461745,40.41721341982993,500,data_main/17235708-7d99-4d1f-8bb2-9b3bdad7ce9b/main.jpg,High,2
1,1.3899059999999963,51.3877767,1000,data_main/1728c4c3-7655-497c-b4ef-76d430ee2044/main.jpg,High,4
1,2.3324221999999963,48.8338325,1000,data_main/175ba1e3-2b8b-4175-acb4-3d1d1fb37b64/main.jpg,Mid,5
2,-3.612339282175405,40.4596514960251,600,data_main/17a7201f-efdb-4c05-af7f-47a45a542cf1/main.jpg,Low,13
2,-3.693306839089955,40.4201273588685,700,data_main/17bcfcc4-8e4e-42de-9426-e9471f4eb6a3/main.jpg,Low,13
1,-0.4081024581970496,42.14062891256805,1000,data_main/17cb7810-72dd-4d52-96fd-4db06df8baf4/main.jpg,Mid,7
1,-2.184391000000005,48.014214,1000,data_main/17dcabf2-ba4c-4778-a9eb-1ff7ced2ddef/main.jpg,Mid,4
2,-3.688140520075276,40.34270190975362,600,data_main/17f078d1-7e10-47d5-be53-90b4bd180a12/main.jpg,Low,13
1,-6.796111111111111,42.24277777777778,1000,data_main/17f68870-3e59-442d-8eab-c18a624e3f82/main.jpg,Mid,10
1,-5.982455712164324,37.415894575197854,1000,data_main/17fac423-de6a-40cb-ba3b-cd35781cdd9b/main.jpg,Mid,8
1,-7.981083333333333,41.97416666666667,1000,data_main/18106614-59c4-4a3b-bae2-f6dff761c353/main.jpg,Low,10
1,-8.876444444444445,42.44805555555556,1000,data_main/18316aa0-d8b5-418a-8d64-fb45b5a0e465/main.jpg,Mid,10
1,-0.4075115000000551,42.138534,1000,data_main/185367d6-2d67-42a3-8309-6637a76b9644/main.jpg,Mid,11
2,-3.688760015014631,40.4220683954977,600,data_main/1858493e-f994-4ee2-b3d0-b009e90cb0e2/main.jpg,High,10
1,30.0542331,51.40450320000001,1000,data_main/18fc08b8-b85c-45b0-9e8a-9adbee4e0023/main.jpg,High,3
2,-3.732459412708327,40.437439444871934,600,data_main/1912da77-aa6d-4c3d-b6d6-54999facaaf6/main.jpg,Low,12
1,-3.6926938182485287,40.425189046340655,800,data_main/1947c8c3-b561-4769-a4ed-cec568719fbb/main.jpg,Low,13
2,-3.704332612294412,40.419884476559766,600,data_main/198489c0-80a9-45eb-95b1-f42d6a79a071/main.jpg,Mid,10
1,-3.708725516958897,40.4139026548871,800,data_main/1a12b2f3-9f5b-420e-8db1-a8fea0b12936/main.jpg,Mid,10
2,-3.692252458976549,40.44178255079099,250,data_main/1a44e3f9-32fb-4298-b4bf-3fde5aef6515/main.jpg,Low,0
2,-3.701083694459614,40.42645345182625,600,data_main/1a5f3bb4-cfe5-463c-bfa9-4a5665650c65/main.jpg,Low,13
1,-8.869694444444445,41.89275,1000,data_main/1a8253c3-2bae-42ef-ae7b-9a5360721768/main.jpg,Mid,10
3,-3.6545505921254087,40.40859138408642,500,data_main/1aa39939-e746-4ad2-a332-3e1ad11a7817/main.jpg,Low,12
1,113.9917586634765,62.539135552783016,1000,data_main/1ab99e57-c26a-49d2-b067-45729fff43dc/main.jpg,High,4
1,-8.644277777777777,42.04625,1000,data_main/1acd34b5-56ce-4a29-ad7d-ac012f12cd2a/main.jpg,High,10
2,-3.659530523132044,40.3790583103064,700,data_main/1af5dd40-3acc-4804-8045-f2eff2f2964d/main.jpg,Low,13
1,-71.84823879999999,-13.4216848,1000,data_main/1b2e0825-4f3c-42e0-9a7e-8809582bf372/main.jpg,Mid,3
2,-3.725291575765517,40.43853583084271,600,data_main/1b3e8a93-3edc-4739-918f-35a80c40c3b0/main.jpg,Mid,10
2,-3.661671457060664,40.45694736555926,600,data_main/1b491282-99a3-4d45-a64c-2eb256d3a017/main.jpg,Low,13
2,-3.684551710224391,40.43211109393623,700,data_main/1b7d5261-badd-4dac-89cf-0e534a85e007/main.jpg,High,10
1,-7.663583333333333,42.42358333333333,1000,data_main/1b9006df-5b63-4609-9934-de9602d19472/main.jpg,High,10
1,-4.917666909648119,41.67627776926706,1000,data_main/1bea0dcb-ec18-4a20-bbb8-88b304dce772/main.jpg,Mid,7
1,-8.465555555555556,42.979888888888894,1000,data_main/1c101f60-1f49-4b32-908b-cfb16113a057/main.jpg,High,10
2,-3.703947963671705,40.44691311062749,250,data_main/1ca96c4f-979d-40ac-954a-ccce6bc97b96/main.jpg,Mid,0
1,14.304939500000046,42.0626167,1000,data_main/1cb24e7e-5a0c-4135-9e91-1fa2cdfe91fc/main.jpg,Mid,4
2,-3.618237688656712,40.44339738737497,600,data_main/1cc5856e-e911-451c-a7ec-f73ccd8077cf/main.jpg,Low,13
2,-3.715544138963103,40.423374198224806,700,data_main/1cd2741d-624a-4c3a-92d8-fbcc35073a78/main.jpg,Low,13
1,-7.7284444444444444,42.44633333333333,1000,data_main/1cf4a7bc-3b2a-4f7f-8046-46e0015fc9cf/main.jpg,High,10
1,-7.043416666666666,42.70944444444445,1000,data_main/1d052404-d4a7-4a28-ac8c-4bf532b161ba/main.jpg,Mid,10
2,-3.710575126386881,40.422783222706194,600,data_main/1d62fd51-5939-462d-a350-21f7d088f37e/main.jpg,Mid,10
1,-8.9325,42.75277777777778,1000,data_main/1d7cfd3c-04b1-428f-8ac3-5d0faa5303b5/main.jpg,High,10
2,-3.690835457698024,40.43786939644994,600,data_main/1dcf589c-fb68-4a12-acfd-4bf8bc3288a2/main.jpg,Low,12
1,-3.704595861391306,40.41235131224301,800,data_main/1deb2343-c7df-4f05-b500-f33d7899958c/main.jpg,Low,12
1,23.321261,42.696708,1000,data_main/1deca647-88b1-455a-8892-218fb8a5f521/main.jpg,Mid,6
3,-3.694218951186785,40.35103508970944,500,data_main/1e03b4bf-5d12-4232-a129-cf824aa88af6/main.jpg,Mid,12
2,-3.7028114644082746,40.41983067032157,700,data_main/1e0f97de-3c5e-4f74-914f-b311ce80b11c/main.jpg,Mid,10
2,-3.6983063152074473,40.41960571610798,600,data_main/1e1c6280-1e44-4c0d-9fdf-9ab09b5abab5/main.jpg,High,10
1,-8.959805555555555,42.62588888888889,1000,data_main/1e224ca5-0212-4c07-80dc-37e7477afeb3/main.jpg,High,10
1,40.411031,44.352735,1000,data_main/1e50cf89-56ba-4681-9aec-7b1056c1ea4d/main.jpg,Mid,3
2,-3.704115144651839,40.42050742476766,600,data_main/1e7acf51-4bdf-46d2-b056-64e434e05c30/main.jpg,High,10
1,15.977453100000048,45.8091486,1000,data_main/1e8e7ab4-7ce9-4064-8ba1-3df8f51cf9f3/main.jpg,High,4
2,-3.7568760907943854,40.36891250719702,600,data_main/1ede162a-cee3-4086-9698-98e6bb7eb77b/main.jpg,Mid,13
1,-3.689024082798648,40.432766597945104,800,data_main/1f524808-5886-4fbb-aa86-18250cfea8c1/main.jpg,Low,13
2,-3.699943922067412,40.41952374105568,600,data_main/1fa137bc-5e2e-4269-ba27-0427115c8278/main.jpg,Mid,10
2,-3.685772040600217,40.4371756776237,250,data_main/1fa35fff-ceb1-4431-a7f8-2281a5935de5/main.jpg,Mid,0
2,-3.740618752796217,40.38371159615876,600,data_main/1fb2de24-a4f8-4b24-bafc-eaf825cacabe/main.jpg,Low,13
2,-3.710809418427343,40.41208167798535,600,data_main/1fe8ab70-5c77-4b42-a1b9-8fe5da4d2f7c/main.jpg,Low,13
1,-3.713755451789632,40.42032218422668,800,data_main/2007f70d-430d-4974-9d3f-eca6483244d5/main.jpg,Mid,13
1,-7.713305555555555,42.34194444444445,1000,data_main/20234273-691c-4e12-859c-d716c3b38a52/main.jpg,High,10
3,-3.661791660211395,40.41509074425869,500,data_main/2032eeac-4b7f-484e-ac0c-5677beb00a81/main.jpg,Mid,13
1,-3.789825206609408,37.765178120060654,1000,data_main/204530a2-205e-4663-afc2-ed2341a5fc1c/main.jpg,High,3
1,-7.948305555555556,42.85969444444444,1000,data_main/2053e868-01b9-457d-833f-9b21d17fd15d/main.jpg,Mid,10
2,-3.711947617297519,40.418792785930165,700,data_main/2065c205-758d-4b04-9a05-4a716c9d059b/main.jpg,Low,13
1,31.97006179999994,31.0141246,1000,data_main/20725530-65cd-41fb-90cf-bddd241547c7/main.jpg,Mid,5
1,-2.6604300887695445,42.75024182627362,1000,data_main/20f39b99-2923-46cc-82b3-ba5caba23c6c/main.jpg,Mid,4
2,-3.7087584404681806,40.42153310961759,600,data_main/21244444-2ec4-46a6-811a-fb5f39f96469/main.jpg,Low,10
1,-3.689766240520929,40.42363897811159,900,data_main/212d3cf1-7694-4529-8714-59d21562147b/main.jpg,Mid,10
1,15.86377820000007,46.1646599,1000,data_main/2158b063-e0f8-428f-82b9-3aad13f0b663/main.jpg,High,3
1,-95.45384302190894,38.97155218746683,1000,data_main/2162e0ce-2494-4e31-bbd9-24c02cc2bd2c/main.jpg,High,2
1,-3.71257700000001,40.4121818,1000,data_main/2170171d-b87e-4de5-bb18-fe0ecbd555b1/main.jpg,Mid,4
3,-3.652467916455543,40.40527880765271,500,data_main/217a0440-cbc1-40bc-919f-553c031872cc/main.jpg,Mid,12
2,-3.68766715478062,40.41661542060194,700,data_main/218deeea-cf18-4c98-b071-348684150f2b/main.jpg,Low,13
1,-3.699363215525605,40.41239209144543,800,data_main/21926740-9adf-4a12-af20-e34602ae521c/main.jpg,Low,13
2,-3.708388437363429,40.42222006385312,600,data_main/21a216c0-3955-481c-a631-a40ff3b90f85/main.jpg,High,10
1,-3.712120590510485,40.41908796307495,600,data_main/21c741f5-cbe7-4ae0-a69d-b5c1622056af/main.jpg,Mid,2
2,-3.762097422985464,40.448713343630445,600,data_main/21f77455-5e31-4b88-af90-7fb459bb62ed/main.jpg,High,12
1,-3.688412123509053,40.4232789604228,900,data_main/2209e78c-4f33-4fe9-b61c-fc7763331065/main.jpg,Mid,10
1,28.62305200000003,36.825254,1000,data_main/2221116f-9f4e-42a0-9f51-e957513fcbb9/main.jpg,Mid,3
2,-3.6890686074577617,40.40975329834176,600,data_main/22302be7-965a-4c4c-8cc1-94bd18540fda/main.jpg,Low,13
2,-58.38366066339412,-34.60114675376375,250,data_main/22d0141a-1a45-4367-a5d9-8668c99e9eba/main.jpg,Mid,1
1,-4.72862340000006,41.6559938,1000,data_main/22ecc32f-4d31-4b5f-9c8e-c89d084cdd8f/main.jpg,Mid,7
1,-3.6583751790027423,40.38501991544689,800,data_main/2315c417-9711-423e-832a-336b54bb6722/main.jpg,Low,13
1,-3.6903460343352688,40.41577963261243,900,data_main/23344d03-7d37-4c6f-8d8e-01b3bc4ca8fc/main.jpg,High,10
1,-3.692858480631031,40.42285471960314,800,data_main/236449fe-ed65-41bb-a7df-52ce8cd23610/main.jpg,Mid,10
